State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total,state_name_raw,state_code,state_canonical,constituency_name,constituency_type,category_clean,total_recomputed,total_missing,total_diff
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Electors - General,806732.0,824255.0,116.0,1631103.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Electors - General,1631103.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Electors - Overseas,63.0,8.0,0.0,71.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Electors - Overseas,71.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Electors - Service,14963.0,549.0,0.0,15512.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Electors - Service,15512.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Electors - Total,821758.0,824812.0,116.0,1646686.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Electors - Total,1646686.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - General,583434.0,630675.0,14.0,1214123.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Voters - General,1214123.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Overseas,5.0,0.0,0.0,5.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Voters - Overseas,5.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Proxy,,,,0.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Voters - Proxy,0.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Postal,,,,27041.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Voters - Postal,0.0,False,27041.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Total,,,,1241169.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Voters - Total,0.0,False,1241169.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,,,,5216.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,0.0,False,5216.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Polling Percentage,,,,75.37,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Voters - Polling Percentage,0.0,False,75.37
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Votes Polled On Evm,,,,1214128.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Votes - Total Votes Polled On Evm,0.0,False,1214128.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Deducted Votes From Evm,,,,29714.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Votes - Total Deducted Votes From Evm,0.0,False,29714.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Valid Votes Polled On Evm,,,,1184414.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Votes - Total Valid Votes Polled On Evm,0.0,False,1184414.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Postal Votes Counted,,,,27041.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Votes - Postal Votes Counted,0.0,False,27041.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Postal Votes Deducted,,,,374.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Votes - Postal Votes Deducted,0.0,False,374.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Valid Postal Votes,,,,26667.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Votes - Valid Postal Votes,0.0,False,26667.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Valid Votes Polled,,,,1211081.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Votes - Total Valid Votes Polled,0.0,False,1211081.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Test Votes Polled On Evm,,,,0.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Votes - Test Votes Polled On Evm,0.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Votes Polled For 'Nota'(Including Postal),,,,24605.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Votes - Votes Polled For 'Nota'(Including Postal),0.0,False,24605.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Tendered Votes,,,,0.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Votes - Tendered Votes,0.0,False,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Number,,,,2049.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Polling Station - Number,0.0,False,2049.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Average Electors Per Polling,,,,804.0,Andhra Pradesh,S01,Andhra Pradesh,Srikakulam,GEN,Polling Station - Average Electors Per Polling,0.0,False,804.0
