fiscal_year,state,state_size,gdp_share,unit,notes,election_year_clean,state_raw,state_canonical,gdp_share_pct
2020-21,Madhya Pradesh,Large,4.7,gdp_share in percentage,,2020,Madhya Pradesh,Madhya Pradesh,470.0
2020-21,Uttar Pradesh,Large,8.2,gdp_share in percentage,,2020,Uttar Pradesh,Uttar Pradesh,819.9999999999999
2010-11,Andhra Pradesh,Large,8.4,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together,2010,Andhra Pradesh,AP-Telangana Combined,840.0
2010-11,Assam,Large,1.6,gdp_share in percentage,,2010,Assam,Assam,160.0
2010-11,Bihar,Large,4.8,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together,2010,Bihar,Bihar,480.0
2010-11,Chhattisgarh,Large,1.7,gdp_share in percentage,,2010,Chhattisgarh,Chhattisgarh,170.0
2010-11,Delhi,Large,3.7,gdp_share in percentage,,2010,Delhi,Delhi,370.0
2010-11,Gujarat,Large,7.5,gdp_share in percentage,,2010,Gujarat,Gujarat,750.0
2010-11,Haryana,Large,3.8,gdp_share in percentage,,2010,Haryana,Haryana,380.0
2010-11,Jharkhand,Large,1.8,gdp_share in percentage,,2010,Jharkhand,Jharkhand,180.0
2010-11,Karnataka,Large,5.9,gdp_share in percentage,,2010,Karnataka,Karnataka,590.0
2010-11,Kerala,Large,3.8,gdp_share in percentage,,2010,Kerala,Kerala,380.0
2010-11,Madhya Pradesh,Large,5.5,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together,2010,Madhya Pradesh,Madhya Pradesh,550.0
2010-11,Maharashtra,Large,15.2,gdp_share in percentage,,2010,Maharashtra,Maharashtra,1520.0
2010-11,Odisha,Large,2.9,gdp_share in percentage,,2010,Odisha,Odisha,290.0
2010-11,Punjab,Large,3.3,gdp_share in percentage,,2010,Punjab,Punjab,330.0
2010-11,Rajasthan,Large,4.9,gdp_share in percentage,,2010,Rajasthan,Rajasthan,490.00000000000006
