Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year,state_raw,state_canonical,election_year_clean
Fatehpur,418,GEN,Uttar Pradesh [1947 - 1999],Gauri Shankar Alias Gauri Babu,Independent,435714.0,180138.0,41.3,29253.0,16.2,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Ferozepur,327,GEN,Punjab,Iqbal Singh,Indian National Congress,521386.0,332188.0,63.7,32152.0,9.7,1962.0,Punjab,Punjab,1962
Firozabad,432,GEN,Uttar Pradesh [1947 - 1999],Shambhu Nath Chaturvedi,Indian National Congress,450593.0,227824.0,50.6,13239.0,5.8,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Gadwal,29,GEN,Andhra Pradesh,Janumpally Rameshwar Rao,Indian National Congress,447475.0,268559.0,60.0,15834.0,5.9,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Ganganagar,358,SC,Rajasthan,Panna Lal,Indian National Congress,574159.0,351807.0,61.3,59620.0,16.9,1962.0,Rajasthan,Rajasthan,1962
Garhwal,361,GEN,Uttar Pradesh [1947 - 1999],Bhakta Darshan,Indian National Congress,391864.0,148825.0,38.0,33777.0,22.7,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Gauhati,49,GEN,Assam,Hem Borua,Praja Socialist Party,467175.0,280492.0,60.0,32062.0,11.4,1962.0,Assam,Assam,1962
Gaya,98,GEN,Bihar [1947 - 1999],Brajeshwar Prasad,Indian National Congress,337429.0,168595.0,50.0,18798.0,11.1,1962.0,Bihar [1947 - 1999],Bihar [1947 - 1999],1962
Gazipur,408,GEN,Uttar Pradesh [1947 - 1999],Viswanath Singh Gahmari,Indian National Congress,399020.0,219895.0,55.1,36863.0,16.8,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Ghatal,469,GEN,West Bengal,Sachindra Nath Choudhury,Indian National Congress,523928.0,341324.0,65.2,30838.0,9.0,1962.0,West Bengal,West Bengal,1962
Ghatampur,423,SC,Uttar Pradesh [1947 - 1999],Tula Ram,Indian National Congress,442776.0,218833.0,49.4,21996.0,10.1,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Ghosi,405,GEN,Uttar Pradesh [1947 - 1999],Jai Bahadur,Communist Party Of India,433042.0,244629.0,56.5,8692.0,3.6,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Giridih,100,GEN,Bihar [1947 - 1999],Thakur Bateshwar Singh,Swatantra,374463.0,129147.0,34.5,3458.0,2.7,1962.0,Bihar [1947 - 1999],Bihar [1947 - 1999],1962
Goalpara,48,ST,Assam,Dharani Dhor Basumotari,Indian National Congress,429220.0,229232.0,53.4,30434.0,13.3,1962.0,Assam,Assam,1962
Godda,80,GEN,Bihar [1947 - 1999],Prabhudayal Himmatsingka,Indian National Congress,395448.0,193437.0,48.9,19585.0,10.1,1962.0,Bihar [1947 - 1999],Bihar [1947 - 1999],1962
Gohichettipalayam,203,GEN,Madras,P. G. Karuthiruman,Indian National Congress,435401.0,298854.0,68.6,71435.0,23.9,1962.0,Madras,Tamil Nadu,1962
Gonda,393,GEN,Uttar Pradesh [1947 - 1999],Ram Ratan Gupta,Indian National Congress,437337.0,206220.0,47.2,498.0,0.2,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Gondia,259,SC,Maharashtra,Balkrishna Ramchandra Wasnik,Indian National Congress,462370.0,274773.0,59.4,10925.0,4.0,1962.0,Maharashtra,Maharashtra,1962
Gopalganj,59,GEN,Bihar [1947 - 1999],Dwaika Nath Tiwari,Indian National Congress,422101.0,204989.0,48.6,38617.0,18.8,1962.0,Bihar [1947 - 1999],Bihar [1947 - 1999],1962
Gorakhpur,398,GEN,Uttar Pradesh [1947 - 1999],Sinhasan Singh,Indian National Congress,413275.0,211551.0,51.2,3260.0,1.5,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Gudivada,12,GEN,Andhra Pradesh,Manganti Ankineedu,Indian National Congress,493266.0,388490.0,78.8,16734.0,4.3,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Gulbarga,271,GEN,Mysore,Mahadevappa Yeshwantappa,Indian National Congress,413239.0,184634.0,44.7,8073.0,4.4,1962.0,Mysore,Karnataka,1962
Guna,152,GEN,Madhya Pradesh [1947 - 1999],Ramsahai Shivprasad Pande,Indian National Congress,481461.0,225007.0,46.7,19726.0,8.8,1962.0,Madhya Pradesh [1947 - 1999],Madhya Pradesh [1947 - 1999],1962
Guntur,16,GEN,Andhra Pradesh,Kotha Raghu Ramaiah,Indian National Congress,516008.0,368813.0,71.5,99942.0,27.1,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Gurdaspur,334,GEN,Punjab,Dewan Chand,Indian National Congress,454322.0,298900.0,65.8,56498.0,18.9,1962.0,Punjab,Punjab,1962
Gurgaon,323,GEN,Punjab,Gajraj Singh,Indian National Congress,500008.0,319542.0,63.9,18418.0,5.8,1962.0,Punjab,Punjab,1962
Gwalior,150,GEN,Madhya Pradesh [1947 - 1999],Vijaya Raje Scindia,Indian National Congress,431098.0,236915.0,55.0,148820.0,62.8,1962.0,Madhya Pradesh [1947 - 1999],Madhya Pradesh [1947 - 1999],1962
Hajipur,64,GEN,Bihar [1947 - 1999],Rajeshwar Patel,Indian National Congress,421299.0,259738.0,61.7,21850.0,8.4,1962.0,Bihar [1947 - 1999],Bihar [1947 - 1999],1962
Hamirpur,420,GEN,Uttar Pradesh [1947 - 1999],Mannoo Lal Dwivedi,Indian National Congress,408471.0,216075.0,52.9,27684.0,12.8,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Hapur,439,GEN,Uttar Pradesh [1947 - 1999],Kamla Chaudhry,Indian National Congress,435947.0,247270.0,56.7,28633.0,11.6,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Hardoi,376,SC,Uttar Pradesh [1947 - 1999],Kindar Lal,Indian National Congress,451711.0,194935.0,43.2,23310.0,12.0,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Hassan,286,GEN,Mysore,H. Siddananjappa,Indian National Congress,433487.0,241184.0,55.6,5815.0,2.4,1962.0,Mysore,Karnataka,1962
Hata,400,GEN,Uttar Pradesh [1947 - 1999],Kashi Nath Pandey,Indian National Congress,430300.0,224360.0,52.1,66305.0,29.6,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Hatkanangle,239,SC,Maharashtra,Krishnaji Laxman More,Indian National Congress,417516.0,270195.0,64.7,99683.0,36.9,1962.0,Maharashtra,Maharashtra,1962
Hatras,435,SC,Uttar Pradesh [1947 - 1999],Joti Sarup,Republican Party,447606.0,254933.0,57.0,2649.0,1.0,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Hazari Bagh,102,GEN,Bihar [1947 - 1999],Basant Narain Singh,Swatantra,395311.0,127042.0,32.1,46611.0,36.7,1962.0,Bihar [1947 - 1999],Bihar [1947 - 1999],1962
Hindaun,344,GEN,Rajasthan,Tika Ram,Indian National Congress,488123.0,274043.0,56.1,49105.0,17.9,1962.0,Rajasthan,Rajasthan,1962
Hindupur,26,GEN,Andhra Pradesh,K.V. Ramakrishna Reddy,Indian National Congress,420888.0,260620.0,61.9,29042.0,11.1,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Hissar,325,GEN,Punjab,Mani Ram,Socialist,567814.0,356615.0,62.8,27233.0,7.6,1962.0,Punjab,Punjab,1962
Hooghly,468,GEN,West Bengal,Provat Kar,Communist Party Of India,511620.0,323968.0,63.3,2643.0,0.8,1962.0,West Bengal,West Bengal,1962
Hoshangabad,175,GEN,Madhya Pradesh [1947 - 1999],Hari Vishnu Kamath,Praja Socialist Party,385818.0,182882.0,47.4,18771.0,10.3,1962.0,Madhya Pradesh [1947 - 1999],Madhya Pradesh [1947 - 1999],1962
Hoshiarpur,335,GEN,Punjab,Amar Nath Vidya Alankar,Indian National Congress,484314.0,319443.0,66.0,10301.0,3.2,1962.0,Punjab,Punjab,1962
Howrah,465,GEN,West Bengal,Mohammad Elias,Communist Party Of India,534887.0,333014.0,62.3,3936.0,1.2,1962.0,West Bengal,West Bengal,1962
Hydrabad,31,GEN,Andhra Pradesh,Gopal S. Melkote,Indian National Congress,315412.0,175445.0,55.6,43069.0,24.5,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Indore,179,GEN,Madhya Pradesh [1947 - 1999],Homi Daji,Independent,405346.0,239465.0,59.1,6293.0,2.6,1962.0,Madhya Pradesh [1947 - 1999],Madhya Pradesh [1947 - 1999],1962
Inner Manipur,491,GEN,Manipur,Salam Tombi Singh,Indian National Congress,212925.0,145368.0,68.3,12316.0,8.5,1962.0,Manipur,Manipur,1962
