fiscal_year,state,state_size,gdp_share,unit,notes
2000-01,Kerala,Large,4.1,gdp_share in percentage,
2000-01,Madhya Pradesh,Large,5.8,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together
2000-01,Maharashtra,Large,14.0,gdp_share in percentage,
2000-01,Odisha,Large,2.3,gdp_share in percentage,
2000-01,Punjab,Large,3.9,gdp_share in percentage,
2000-01,Rajasthan,Large,4.6,gdp_share in percentage,
2000-01,Tamil Nadu,Large,8.3,gdp_share in percentage,
2000-01,Uttar Pradesh,Large,10.9,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together
2000-01,Uttarakhand,Large,0.7,gdp_share in percentage,
2000-01,West Bengal,Large,8.2,gdp_share in percentage,
2000-01,Andaman and Nicobar Islands,Small,0.06,gdp_share in percentage,
2000-01,Arunachal Pradesh,Small,0.1,gdp_share in percentage,
2000-01,Chandigarh,Small,0.2,gdp_share in percentage,
2000-01,Goa,Small,0.5,gdp_share in percentage,
2000-01,Himachal Pradesh,Small,0.8,gdp_share in percentage,
2000-01,Jammu and Kashmir,Small,0.9,gdp_share in percentage,
2000-01,Manipur,Small,0.2,gdp_share in percentage,
2000-01,Meghalaya,Small,0.2,gdp_share in percentage,
2000-01,Mizoram,Small,0.1,gdp_share in percentage,
2000-01,Nagaland,Small,0.2,gdp_share in percentage,
2000-01,Puducherry,Small,0.2,gdp_share in percentage,
2000-01,Sikkim,Small,0.1,gdp_share in percentage,
2000-01,Tripura,Small,0.3,gdp_share in percentage,
2000-01,Andhra Pradesh,Large,8.2,gdp_share in percentage,
2000-01,Bihar,Large,2.8,gdp_share in percentage,
2000-01,Madhya Pradesh,Large,4.3,gdp_share in percentage,
2000-01,Uttar Pradesh,Large,10.2,gdp_share in percentage,
1990-91,Andhra Pradesh,Large,7.6,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together
1990-91,Assam,Large,2.4,gdp_share in percentage,
1990-91,Bihar,Large,6.0,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together
1990-91,Chhattisgarh,Large,,gdp_share in percentage,
1990-91,Delhi,Large,2.6,gdp_share in percentage,
1990-91,Gujarat,Large,6.4,gdp_share in percentage,
1990-91,Haryana,Large,3.1,gdp_share in percentage,
1990-91,Jharkhand,Large,,gdp_share in percentage,
1990-91,Karnataka,Large,5.3,gdp_share in percentage,
1990-91,Kerala,Large,3.2,gdp_share in percentage,
1990-91,Madhya Pradesh,Large,6.9,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together
1990-91,Maharashtra,Large,14.6,gdp_share in percentage,
1990-91,Odisha,Large,2.5,gdp_share in percentage,
1990-91,Punjab,Large,4.3,gdp_share in percentage,
1990-91,Rajasthan,Large,4.7,gdp_share in percentage,
1990-91,Tamil Nadu,Large,7.1,gdp_share in percentage,
1990-91,Uttar Pradesh,Large,12.6,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together
1990-91,Uttarakhand,Large,,gdp_share in percentage,
1990-91,West Bengal,Large,7.9,gdp_share in percentage,
1990-91,Andaman and Nicobar Islands,Small,0.04,gdp_share in percentage,
1990-91,Arunachal Pradesh,Small,0.1,gdp_share in percentage,
1990-91,Chandigarh,Small,,gdp_share in percentage,
1990-91,Goa,Small,0.3,gdp_share in percentage,
1990-91,Himachal Pradesh,Small,0.6,gdp_share in percentage,
1990-91,Jammu and Kashmir,Small,0.8,gdp_share in percentage,
1990-91,Manipur,Small,0.2,gdp_share in percentage,
1990-91,Meghalaya,Small,0.2,gdp_share in percentage,
1990-91,Mizoram,Small,0.1,gdp_share in percentage,
